1783630792,520894977,24,0,0,0,0.00,4.77
1783630793,520901928,53,0,0,0,0.00,1.25
1783630794,520888991,66,1,1,0,0.00,0.76
1783630795,520898252,63,1,1,0,0.00,0.76
1783630796,520896533,41,0,0,0,0.00,1.50
1783630797,520950815,82,1,1,0,0.00,1.78
1783630798,520918233,85,0,0,0,0.00,2.02
1783630799,520914049,84,0,0,0,0.00,2.27
1783630800,520913420,96,1,1,0,0.00,1.28
1783630801,520914211,83,1,1,0,0.00,2.27
1783630802,520916527,47,2,2,0,0.00,1.76
1783630803,520908494,63,0,1,0,0.00,1.77
1783630804,520921831,81,1,0,0,0.00,1.77
1783630805,520917580,107,1,1,0,0.00,3.02
1783630806,520892305,94,0,0,0,0.00,3.80
1783630807,520903089,96,0,0,0,0.00,2.02
1783630808,520895664,87,0,0,0,0.00,3.30
1783630809,520891434,101,0,0,0,0.00,3.29
1783630810,520890818,128,0,0,0,0.00,1.52
1783630811,520911733,114,0,0,0,0.00,2.29
1783630812,520908139,82,0,0,0,0.00,2.28
1783630813,520908628,111,0,0,0,0.00,3.53
1783630814,520913776,101,0,1,0,0.00,2.30
1783630815,520905510,94,0,0,0,0.00,2.52
1783630816,520904350,100,0,0,0,0.00,2.04
1783630817,520912382,112,0,0,0,0.00,3.03
1783630818,520903148,114,0,1,0,0.00,3.27
1783630819,520916283,90,0,0,0,0.00,2.78
1783630820,520912673,100,0,0,0,0.00,2.54
1783630821,520915601,103,0,0,0,0.00,1.79
1783630822,520921317,114,1,0,0,0.00,2.04
1783630823,520898728,102,0,0,0,0.00,2.03
1783630824,520917261,91,0,0,0,0.00,2.53
1783630825,520904365,121,0,0,0,0.00,1.29
1783630826,520903322,94,0,0,0,0.00,3.80
1783630827,520906998,91,0,0,0,0.00,2.53
1783630828,520907527,116,0,0,0,0.00,1.78
1783630829,520907202,113,0,0,0,0.00,1.52
1783630830,520917482,94,0,0,0,0.00,2.27
1783630831,520902900,99,0,0,0,0.00,2.51
1783630832,520914913,112,0,0,0,0.00,3.28
1783630833,520907533,80,1,1,0,0.00,3.49
1783630834,520913260,64,0,0,0,0.00,2.27
1783630835,520903242,90,0,0,0,0.00,2.28
1783630836,520915862,121,0,0,0,0.00,2.80
1783630837,520905186,108,1,1,0,0.00,3.27
1783630838,520997149,110,2,2,0,0.00,4.05
1783630839,520914672,111,0,0,0,0.00,3.77
1783630840,520905930,112,0,0,0,0.00,1.78
1783630841,520915716,101,1,1,0,0.00,2.53
1783630842,520917884,107,0,0,0,0.00,2.53
1783630843,520917903,99,2,2,0,0.00,2.78
1783630844,520919890,99,1,1,0,0.00,2.03
1783630845,520910146,85,0,1,0,0.00,2.76
1783630846,520902213,148,0,0,0,0.00,2.03
1783630847,520909842,91,0,0,0,0.00,2.02
1783630848,520913295,71,0,1,0,0.00,1.52
1783630849,520909446,106,0,0,0,0.00,1.52
1783630850,520913764,116,0,0,0,0.00,3.77
1783630851,520910887,76,0,0,0,0.00,1.53
1783630852,520948364,70,0,0,0,0.00,3.24
1783630853,520907398,68,1,1,0,0.00,1.02
1783630854,520917100,93,1,1,0,0.00,2.76
1783630855,520915180,90,1,1,0,0.00,2.03
1783630856,520906744,84,0,0,0,0.00,2.03
1783630857,520907312,89,2,1,0,0.00,2.28
1783630858,520912978,80,0,0,0,0.00,2.51
1783630859,520909473,102,1,1,0,0.00,5.30
1783630860,520955649,55,0,0,0,0.00,2.02
1783630861,520913594,70,0,1,0,0.00,1.27
1783630862,520913878,66,0,0,0,0.00,2.02
1783630863,520905304,76,2,2,0,0.00,1.52
1783630864,520908549,88,0,0,0,0.00,1.52
1783630865,520905751,81,0,0,0,0.00,1.52
1783630866,520919409,74,1,1,0,0.00,1.77
1783630867,520916554,79,0,0,0,0.00,3.27
1783630868,520913960,71,0,0,0,0.00,2.25
1783630869,520912822,68,0,0,0,0.00,0.76
1783630870,520918714,60,0,0,0,0.00,1.26
1783630871,520915701,82,0,0,0,0.00,2.26
1783630872,520907219,96,0,0,0,0.00,2.99
1783630873,520916238,102,0,0,0,0.00,0.26
1783630874,520910935,61,0,0,0,0.00,1.26
1783630875,520914540,53,0,0,0,0.00,1.01
1783630876,520917522,73,0,0,0,0.00,1.26
1783630877,520914777,93,0,0,0,0.00,2.26
1783630878,520904587,50,0,0,0,0.00,1.26
1783630879,520909088,75,1,1,0,0.00,1.76
1783630880,520913956,110,0,0,0,0.00,2.51
1783630881,520912214,88,0,0,0,0.00,1.77
1783630882,520915268,81,1,1,0,0.00,2.25
1783630883,520903170,70,0,0,0,0.00,0.51
1783630884,520912066,55,0,0,0,0.00,1.75
1783630885,520915499,74,1,1,0,0.00,2.02
1783630886,520948417,61,0,0,0,0.00,6.06
1783630887,520901914,99,0,0,0,0.00,2.02
1783630888,520905574,105,1,0,0,0.00,2.02
1783630889,520911949,75,0,0,0,0.00,1.76
1783630890,520907810,56,0,0,0,0.00,1.01
1783630891,520907064,75,0,0,0,0.00,1.27
1783630892,520902263,94,0,0,0,0.00,1.02
1783630893,520911065,101,2,2,0,0.00,2.02
1783630894,520909979,60,0,0,0,0.00,1.26
1783630895,520906142,69,0,0,0,0.00,1.27
1783630896,520911584,64,2,2,0,0.00,1.76
1783630897,520906099,69,0,0,0,0.00,2.25
1783630898,520903280,68,0,1,0,0.00,0.76
1783630899,520913909,75,1,1,0,0.00,1.02
1783630900,520904704,71,0,0,0,0.00,1.51
1783630901,520906552,99,1,1,0,0.00,1.52
1783630902,520904349,54,0,0,0,0.00,2.49
1783630903,520903146,62,0,0,0,0.00,1.51
1783630904,520912268,100,0,0,0,0.00,1.52
1783630905,520924839,86,0,0,0,0.00,1.27
1783630906,520914819,73,0,0,0,0.00,1.76
1783630907,520910020,60,0,0,0,0.00,1.76
1783630908,520911536,63,0,0,0,0.00,1.01
1783630909,520907701,71,1,1,0,0.00,2.01
1783630910,520907526,90,0,0,0,0.00,1.52
1783630911,520919187,99,1,1,0,0.00,1.27
1783630912,520908258,83,0,0,0,0.00,1.51
1783630913,520906771,73,1,1,0,0.00,2.01
1783630914,520905560,72,1,1,0,0.00,1.27
1783630915,520903998,94,0,0,0,0.00,2.02
1783630916,520920369,72,0,0,0,0.00,1.53
1783630917,520920923,63,0,0,0,0.00,1.26
1783630918,520914304,62,0,1,0,0.00,2.25
1783630919,520917598,72,0,0,0,0.00,1.51
1783630920,520915076,68,0,0,0,0.00,1.27
1783630921,520949653,65,0,0,0,0.00,1.51
1783630922,520919143,81,0,0,0,0.00,2.26
1783630923,520918964,63,0,0,0,0.00,1.51
1783630924,520913698,36,0,0,0,0.00,0.51
1783630925,520914283,65,0,0,0,0.00,1.76
1783630926,520917282,63,0,0,0,0.00,0.76
1783630927,520899831,64,0,0,0,0.00,1.51
1783630928,520903440,68,1,1,0,0.00,1.77
1783630929,520904568,64,0,0,0,0.00,0.51
1783630930,520914100,72,1,1,0,0.00,2.01
1783630931,520902351,76,1,1,0,0.00,1.01
1783630932,520909995,67,0,0,0,0.00,2.01
1783630933,520918129,83,0,0,0,0.00,1.52
1783630934,520914929,67,0,0,0,0.00,1.26
1783630935,520907791,53,0,0,0,0.00,1.01
1783630936,520915882,51,0,0,0,0.00,1.26
1783630937,520917953,54,1,1,0,0.00,1.01
1783630938,520906816,64,0,1,0,0.00,1.01
1783630939,520907679,72,0,0,0,0.00,2.02
1783630940,520906949,65,1,0,0,0.00,2.78
1783630941,520888533,46,0,0,0,0.00,5.81
1783630942,520896910,61,0,1,0,0.00,1.25
1783630943,520894007,65,0,0,0,0.00,1.01
1783630944,520893210,60,0,0,0,0.00,0.50
1783630945,520925248,85,1,1,0,0.00,13.49
1783630946,520890488,73,0,0,0,0.00,9.30
1783630947,520893094,91,0,0,0,0.00,1.50
1783630948,520894265,71,0,0,0,0.00,1.26
1783630949,520895929,49,1,1,0,0.00,2.00
1783630950,520895898,54,1,0,0,0.00,1.51
1783630951,520909224,121,0,1,0,0.00,3.27
1783630952,520909658,61,1,1,0,0.00,1.02
1783630953,520909440,96,0,0,0,0.00,2.27
1783630954,520908257,73,0,0,0,0.00,2.51
1783630955,520913349,81,0,0,0,0.00,2.51
1783630956,520912373,65,1,1,0,0.00,6.05
1783630957,520906162,64,1,0,0,0.00,2.03
1783630958,520918935,75,1,1,0,0.00,2.02
1783630959,520917359,74,0,0,0,0.00,2.02
1783630960,520917476,34,0,0,0,0.00,1.52
1783630961,520913660,76,0,0,0,0.00,2.26
1783630962,520917424,68,0,0,0,0.00,1.52
